Time, Yaw, Pitch, Roll
sec, deg, deg, deg
72.988, 129.13, -1.05, -2.61
73.022, 129.15, -1.04, -2.62
73.055, 129.15, -1.05, -2.62
73.089, 129.15, -1.04, -2.62
73.121, 129.16, -1.04, -2.62
73.156, 129.16, -1.04, -2.63
73.188, 129.16, -1.05, -2.63
73.222, 129.15, -1.05, -2.63
73.255, 129.16, -1.05, -2.63
73.288, 129.17, -1.05, -2.63
73.322, 129.17, -1.05, -2.63
73.355, 129.17, -1.05, -2.64
73.389, 129.17, -1.05, -2.64
73.422, 129.17, -1.06, -2.63
73.455, 129.17, -1.06, -2.63
73.488, 129.18, -1.07, -2.63
73.522, 129.18, -1.07, -2.64
73.555, 129.18, -1.07, -2.64
